datetime,Open,Close,High,Low,Volume,成交额,振幅,涨跌幅,涨跌额,换手率
2023-10-17,43.912,43.85,44.666,42.392,81233267,35611073792.0,4.94,-4.69,-2.157,3.29
2023-10-18,42.503,42.108,43.131,41.737,62729434,26596822528.0,3.18,-3.97,-1.742,2.54
2023-10-19,42.723,42.013,43.209,41.794,50123308,21339940608.0,3.36,-0.23,-0.095,2.03
2023-10-20,41.802,41.299,42.382,40.99,47726605,19862281984.0,3.31,-1.7,-0.714,1.93
2023-10-23,41.141,42.887,43.16,40.857,47853049,20323462656.0,5.58,3.85,1.588,1.94
2023-10-24,42.989,43.575,43.609,42.603,40146337,17335518208.0,2.35,1.6,0.688,1.63
2023-10-25,43.31,41.691,43.562,41.467,39837922,16900049152.0,4.81,-4.32,-1.884,1.61
2023-10-26,41.765,40.238,42.168,39.792,54100132,22014605824.0,5.7,-3.49,-1.453,2.19
2023-10-27,41.042,40.412,41.118,39.927,41678441,16911411968.0,2.96,0.43,0.174,1.69
2023-10-30,40.999,41.073,41.678,40.393,38802814,15941995520.0,3.18,1.64,0.661,1.57
2023-10-31,40.362,40.692,40.791,39.142,51796870,20806359808.0,4.01,-0.93,-0.381,2.1
2023-11-01,40.796,42.237,42.293,40.781,43759290,18274443776.0,3.72,3.8,1.545,1.77
2023-11-02,43.24,43.418,43.796,42.806,40917187,17748100096.0,2.34,2.8,1.181,1.66
2023-11-03,43.932,44.917,45.221,43.635,42460959,18954385408.0,3.65,3.45,1.499,1.72
2023-11-06,45.197,45.663,45.847,44.811,40073335,18235029248.0,2.31,1.66,0.746,1.63
2023-11-07,45.631,45.867,46.13,45.07,34316547,15749722880.0,2.32,0.45,0.204,1.39
2023-11-08,46.012,46.486,46.779,45.88,34671894,16106648064.0,1.96,1.35,0.619,1.41
2023-11-09,47.379,46.862,48.142,46.662,54049597,25686366208.0,3.18,0.81,0.376,2.19
2023-11-10,47.412,48.247,48.384,47.195,42244156,20273790720.0,2.54,2.96,1.385,1.71
2023-11-13,48.232,48.532,49.028,48.011,38413570,18718824704.0,2.11,0.59,0.285,1.56
2023-11-14,49.592,49.568,49.746,48.952,41695387,20652334080.0,1.64,2.13,1.036,1.69
2023-11-15,49.847,48.8,49.872,48.112,47549735,23286189312.0,3.55,-1.55,-0.768,1.93
2023-11-16,48.591,49.392,49.437,48.242,33975624,16638883840.0,2.45,1.21,0.592,1.38
2023-11-17,49.436,49.21,49.629,48.919,32589691,16088905472.0,1.44,-0.37,-0.182,1.32
2023-11-20,49.224,50.321,50.46,49.093,41614260,20787039488.0,2.78,2.26,1.111,1.69
2023-11-21,50.038,49.856,50.429,49.134,56574687,28196845056.0,2.57,-0.92,-0.465,2.29
2023-11-22,49.764,48.628,50.247,47.602,90064233,43903851264.0,5.31,-2.46,-1.228,3.65
2023-11-24,48.382,47.688,48.833,47.657,29464464,14190288640.0,2.42,-1.93,-0.94,1.19
2023-11-27,47.712,48.154,48.442,47.564,39566190,19067351552.0,1.84,0.98,0.466,1.6
2023-11-28,48.148,47.733,48.235,47.385,40149085,19196764928.0,1.77,-0.87,-0.421,1.63
2023-11-29,48.291,48.052,48.674,47.772,38200465,18436736768.0,1.89,0.67,0.319,1.55
2023-11-30,47.936,46.682,48.022,46.334,52624663,24699503872.0,3.51,-2.85,-1.37,2.13
2023-12-01,46.437,46.677,47.112,46.099,36931701,17266754816.0,2.17,-0.01,-0.005,1.5
2023-12-04,45.989,45.422,45.989,44.922,43754344,19873942272.0,2.29,-2.69,-1.255,1.77
2023-12-05,45.382,46.482,46.516,45.187,37171762,17158251264.0,2.93,2.33,1.06,1.51
2023-12-06,47.131,45.419,47.303,45.328,38058955,17600061952.0,4.25,-2.29,-1.063,1.54
2023-12-07,45.616,46.512,46.545,45.52,35082255,16230720512.0,2.26,2.41,1.093,1.42
2023-12-08,46.511,47.422,47.657,46.466,35922370,17030827264.0,2.56,1.96,0.91,1.46
2023-12-11,47.407,46.543,47.447,45.746,50972809,23709431296.0,3.59,-1.85,-0.879,2.07
2023-12-12,45.962,47.573,47.582,45.962,37238686,17557735168.0,3.48,2.21,1.03,1.51
2023-12-13,47.545,48.004,48.51,47.524,44779186,21580741632.0,2.07,0.91,0.431,1.82
2023-12-14,48.306,48.266,48.586,47.338,39123174,18825399552.0,2.6,0.55,0.262,1.59
2023-12-15,48.11,48.806,49.32,48.036,47994758,23488735488.0,2.66,1.12,0.54,1.95
2023-12-18,49.316,49.993,50.349,49.066,41258717,20588107520.0,2.63,2.43,1.187,1.67
2023-12-19,49.34,49.52,49.616,48.811,46444446,22904203264.0,1.61,-0.95,-0.473,1.88
2023-12-20,49.571,48.027,49.915,48.014,39789439,19571154432.0,3.84,-3.01,-1.493,1.61
2023-12-21,48.727,48.906,49.011,48.335,30042535,14642415616.0,1.41,1.83,0.879,1.22
2023-12-22,49.111,48.746,49.299,48.383,25250676,12367005440.0,1.87,-0.33,-0.16,1.02
2023-12-26,48.884,49.195,49.516,48.876,24419952,12055482880.0,1.31,0.92,0.449,0.99
2023-12-27,49.427,49.333,49.596,49.001,23364798,11532076288.0,1.21,0.28,0.138,0.95
2023-12-28,49.559,49.438,49.8,49.328,24658748,12241089792.0,0.96,0.21,0.105,1.0
2023-12-29,49.729,49.438,49.913,48.667,38929330,19277612800.0,2.52,0.0,0.0,1.58
2024-01-02,49.16,48.084,49.211,47.511,41125422,19759849216.0,3.44,-2.74,-1.354,1.67
2024-01-03,47.401,47.485,48.1,47.236,32089617,15298553856.0,1.8,-1.25,-0.599,1.3
2024-01-04,47.683,47.914,48.416,47.424,30653489,14742838272.0,2.09,0.9,0.429,1.24
2024-01-05,48.378,49.013,49.463,48.222,41503927,20351650560.0,2.59,2.29,1.099,1.68
2024-01-08,49.428,52.169,52.191,49.395,64250990,32983655424.0,5.7,6.44,3.156,2.61
2024-01-09,52.317,53.056,54.241,51.606,77310006,41086374912.0,5.05,1.7,0.887,3.14
2024-01-10,53.532,54.266,54.516,53.405,53379576,28919255040.0,2.09,2.28,1.21,2.16
2024-01-11,54.915,54.738,55.262,53.476,59675877,32575165440.0,3.29,0.87,0.472,2.42
2024-01-12,54.536,54.626,54.886,54.246,35299360,19299450624.0,1.17,-0.2,-0.112,1.43
2024-01-16,54.934,56.298,56.751,54.816,44957973,25237494272.0,3.54,3.06,1.672,1.82
2024-01-17,56.263,55.969,56.387,54.656,47439444,26402337280.0,3.07,-0.58,-0.329,1.92
2024-01-18,57.176,57.023,57.516,56.023,49165036,28056893184.0,2.67,1.88,1.054,1.99
2024-01-19,57.905,59.407,59.416,57.141,54350148,31816819200.0,3.99,4.18,2.384,2.2
2024-01-22,59.965,59.57,60.247,58.986,45295463,27074164992.0,2.12,0.27,0.163,1.84
2024-01-23,59.486,59.789,59.826,58.501,29465445,17519718144.0,2.22,0.37,0.219,1.19
2024-01-24,60.22,61.278,62.765,59.854,56027076,34593697536.0,4.87,2.49,1.489,2.27
2024-01-25,62.266,61.533,62.635,60.766,48277684,29895675136.0,3.05,0.42,0.255,1.96
2024-01-26,60.876,60.947,61.699,60.489,39030859,23871386368.0,1.97,-0.95,-0.586,1.58
2024-01-29,61.148,62.381,62.405,60.823,34873298,21547632384.0,2.6,2.35,1.434,1.42
2024-01-30,62.816,62.69,63.409,62.176,41073530,25836148480.0,1.98,0.5,0.309,1.67
